video_id,video_title,upload_date,view_count,like_count,comment_count
hEqkeA6zddI,WHO’S STRONGER? | Male vs Female Bodybuilder,1/27/2022,131391,7868,654
gSTHPqdBgUs,Should You &quot;EAT BIG TO GET BIG&quot;? (Clean vs Dirty Bulk),1/23/2022,249255,13603,1919
pIkbRaz_pSU,I Tried The Worlds Fittest Kids Diet  Workout,1/20/2022,516019,20381,1839
NCPPSAiTqgs,ZYZZ Diet  Workout To Become The Aesthetic God,1/16/2022,402934,23708,2735
vbTcdBL9lGY,World’s Most Productive Day To Build Muscle (Science Says),1/13/2022,266352,12353,552
0QXaAQMwfBI,Beginners Gym Survival Guide,1/9/2022,288674,22181,1068
SQbDvwciyDM,Girlfriend Says YES To Whatever I Want For A Day,1/6/2022,242350,16788,944
MZT6C1zQr8k,Natural Bodybuilder vs Rich Pianas Diet  Training,1/2/2022,253763,12189,686
kxWT7ouwBjM,Trying To Beat Crazy World Records (NEW Record!),12/30/2021,194484,9711,449
fb3C_3-1n_g,Why Youre Not Losing Fat (Dont Do THESE!),12/26/2021,306091,14219,642
l4x1wqaWSWY,Healthy Meal Prep On A Budget (6 Easy Recipes),12/23/2021,510891,25070,805
DyiHS28xYT8,Cheat Day In NYC That Went Too Far...,12/16/2021,266465,12939,761
cD14VZCwMoY,Paying $369 For Chris Hemsworths CENTR APP (Waste?),12/12/2021,318688,14549,756
kTox6m-l4no,I Got Shredded In 30 Days (Realistic Results),12/9/2021,543614,22760,1010
SQ4YHfJNvu8,Eating  Training W/ Greg Doucette,12/5/2021,377534,18583,893
QkjIP0fQOL4,Living On Frozen Foods For 24 Hours *Never Again*,12/2/2021,339194,13312,869
wnwgM7s1w6Y,"Eat Twice As Much, Keep Calories The Same (Healthy vs Unhealthy)",11/28/2021,461673,19601,1044
J39Dey02UV0,Bodybuilders Go To Miami Beach For Spring Break,11/24/2021,222870,11513,683
HUgqOJ1_rXA,Bench Press Competition vs Jesse James West,11/21/2021,329620,18007,834
pJwUxrf4p4E,Push Day W/ Chris Bumstead,11/18/2021,451687,17409,692
uxLhR1-4ZyQ,Strength Competition vs. 3x MR.OLYMPIA,11/14/2021,774065,30442,1135
xHjSHqjFH4Y,Following My Girlfriends Diet  Training,11/11/2021,363542,16521,793
0aeWcSKY3FY,How Has Bodybuilding Changed Since The 1970s?,11/7/2021,278737,13081,674
nUB8kmqlB3w,How To Cook With Protein Powder (4 Easy Recipes),11/4/2021,412989,19668,879
spXi35KnFU8,&quot;I LIFT BUT DONT LOOK LIKE IT&quot; (The 12 Reasons Why),10/31/2021,512332,20755,1604
XmjOUa2pdDA,Eating  Training Like The Rock For 24 Hours,10/28/2021,317420,13294,900
